Guid	Model Id	Rotation X	Rotation Y	Rotation Z	Position X	Position Y	Position Z	Name Id	Texture Alias	Model File Name	Name
100000001186	1062	0.72070694	0	-0.6932399	-1295.67	-56.80742	830.2055	0		bw_boombox_01.adr	
100000001190	1234	-0.10075724	0	-0.994911	-1476.039	-33.14938	256.4301	0		ktdm_eng_pirate_topgear_bbe.adr	
100000001198	1064	-0.22709483	0	-0.9738726	-943.772	-44.57503	-1166.8	394914		fish_bbe.adr	Autumn Mistflower
100000001201	46	0.69498014	0	-0.7190289	-955.8561	-44.62718	-1170.239	185		dwarf_m_therin.adr	Therin
100000001202	46	0.69498014	0	-0.7190289	-955.8561	-44.62718	-1170.239	185		dwarf_m_therin.adr	Therin
100000001203	37	0.7552521	0	-0.65543425	-956.3854	-44.78024	-1171.817	5456		dwarf_m_miner_01.adr	Sorin
100000001206	752	-0.40428227	0	-0.9146342	-922.5001	-44.57568	-1169.682	0		chugawug_m_adrotolberug.adr	
100000001207	753	-0.3954305	0	-0.91849583	-922.2657	-44.56388	-1169.698	0		chugawug_m_nucklehead.adr	
100000001208	722	-0.46628326	0	-0.88463545	-919.899	-44.5925	-1170.78	0		sg_collection_node_spring_rare_01.agr	
100000001209	723	-0.46628326	0	-0.88463545	-919.899	-44.5925	-1170.78	0		sg_collection_node_springs_01.adr	
100000001210	727	-0.3556583	0	-0.9346161	-914.3174	-44.19727	-1170.931	0		bw_rolling_boulder_01.adr	
100000001211	144	0.9879941	0	0.15449145	-926.9999	-46.66634	-1182.935	0		human_m_ninja.adr	
100000001215	3212	-0.8826895	0	0.4699566	-2538.731	0.04500806	-425.8167	0		hsg_owl_gylfie_01.adr	
100000001216	3822	-0.86163956	0	0.50752074	-2544.032	0.04393619	-436.0435	0		hsg_painting_thundercats_02.adr	
100000001217	3175	-0.91662616	0	0.39974567	-2538.013	0.0453105	-423.2198	0		hsg_domoposter_01.adr	
100000001218	3183	-0.40943077	0	0.91234124	-2610.68	0.04019141	-262.2158	0		hsg_int_hum_couch_01_lrg_bbe.adr	
100000001219	2003	-0.9119411	0	0.41032103	-2548.408	0.04043344	-424.4823	0		hsg_game_system_02.adr	
100000001220	2004	-0.89199585	0	0.45204353	-2548.501	0.04040903	-424.324	0		hsg_game_system_03.adr	
100000001221	1909	0.459253	0	0.8883055	-2550.753	0.04809535	-446.0792	0		hsg_hum_dining_chair_01_sittest.adr	
100000001222	4082	-0.9145908	0	0.40438065	-2560.093	0.04004589	-454.4762	0		hsg_large_single_door_block_v2_01.adr	
100000001223	4083	-0.9142668	0	0.4051126	-2560.396	0.04004589	-454.8885	0		hsg_large_single_door_block_v2_02.adr	
100000001224	2126	0.8364569	0	-0.54803264	-927.7864	-39.53665	-620.3416	0		human_f_startzone_02.agr	
100000001225	1062	0.16758381	0	-0.98585784	-579.3208	-47.69809	-1277.057	0		bw_boombox_01.adr	
100000001226	444	-0.99997365	0	0.007256352	-541.6942	-44.44327	-1257.399	0		human_m_tcg_rick_garfield.agr	
100000001227	1981	-0.9990933	0	0.042575177	-887.1973	-37.30777	-1450.764	0		white_tiger.adr	
